,0,1,2,3,4,5,6,7,8,9
0,5.005621059406568e-31,8.031213556885896e-29,6.934398419319171e-28,2.166306907348003e-27,1.376118335734953e-25,6.584634498639993e-18,1.8037754988155817e-15,2.2162036934107817e-21,4.5016208558663455e-30,2.8132138265126024e-34
1,5.557878377031253e-15,3.6862053955443915e-11,1.1041715946533783e-09,2.7504418134407194e-10,1.8329209421621429e-13,1.629062618862488e-12,2.558648962255248e-13,1.9321211371997718e-19,6.009443611380913e-25,1.4447410339662184e-21
2,3.7495707641017756e-08,0.027410244180167874,0.9708827562677337,0.0017047237140116955,1.5593374516095213e-11,4.1983960756420275e-15,2.073212941206148e-18,1.1242146719142681e-24,1.2065408461275202e-27,3.708879010483047e-19
3,1.054284330298698e-15,7.040265920591746e-08,2.1664780838460637e-06,2.788401747508517e-11,1.959605599336397e-23,4.6803687832432364e-30,5.99683388645952e-35,2.248548678915998e-41,8.691717709047692e-43,1.2318189095431832e-30
4,6.652759843118696e-34,1.0797922784169744e-25,1.1409407299680151e-24,9.107938004526422e-31,1.2883647772597926e-44,2.817755632511304e-52,6.429375599754521e-58,5.596952923762055e-64,1.095156356254268e-63,5.370815807893695e-50
5,7.931012676403576e-38,6.339342799308151e-31,2.36162660888493e-30,7.461676721492218e-36,7.614294074768873e-48,6.227810826226811e-54,1.3918304744653044e-58,6.414758893035133e-64,9.739390021008897e-64,9.033688335866688e-52
6,9.887806656820216e-27,1.088296678115893e-21,1.7031798913835234e-21,1.4989438525772383e-25,1.6637279167276534e-33,5.148905705021284e-36,1.4922649443958518e-38,1.520504888907917e-43,4.952483157633894e-45,7.546355299969232e-37
7,2.529496281836626e-29,2.0788434132435496e-25,6.183562071635369e-26,1.3413294459400907e-29,1.156635541649285e-32,1.8256334261479446e-29,1.0616259274988427e-28,1.6010458366669033e-33,4.6175818041556935e-38,2.1660751500391221e-35
8,1.1705782443184308e-40,4.508913089308906e-35,1.655586533348134e-36,1.5599719680909676e-43,2.942792900064973e-40,2.6296555894955916e-28,4.2927801723917604e-24,4.197496693227506e-29,1.4881858355643839e-37,1.9355568824935565e-43
9,3.6923752064621686e-42,4.5003152371052975e-40,2.2501595949143683e-42,9.165476027222663e-43,1.997779717504405e-37,7.997525138260142e-25,4.626368498555453e-20,1.4752054860453576e-25,7.674292084755643e-36,8.412475028068245e-45
